Unnamed: 0,Registration_Number,Registration_Date,Registration_Year,State,RTO_Office,Vehicle_Category,Vehicle_Sub_Type,Manufacturer_Brand,Fuel_Type,Emission_Norm,Engine_CC,Seating_Capacity,Vehicle_Age_Years
1724,REG101725,22-05-2022,2022,Karnataka,Belgaum (KA-22),3W,E-Rickshaw,Kinetic Green,CNG,BS6,0,6,2
1725,REG101726,06-09-2023,2023,Gujarat,Surat (GJ-05),3W,E-Rickshaw,Piaggio,CNG,BS6,0,3,1
1726,REG101727,11-05-2023,2023,Telangana,Khammam (TS-07),4W,Sedan,Hyundai,Petrol,BS6,1000,7,1
1727,REG101728,04-05-2022,2022,Madhya Pradesh,Ujjain (MP-13),4W,MUV,Maruti Suzuki,Petrol,BS6,1498,7,2
1728,REG101729,02-01-2023,2023,Delhi,Delhi South (DL-09),LCV,Light Bus,Eicher,Diesel,BS6,2956,9,1
1729,REG101730,05-06-2020,2020,Rajasthan,Ajmer (RJ-01),2W,Scooter,Hero,EV,BS6,0,2,4
1730,REG101731,14-07-2022,2022,Gujarat,Vadodara (GJ-06),4W,MUV,Skoda,CNG,BS6,2179,6,2
1731,REG101732,20-06-2023,2023,Delhi,Delhi West (DL-08),2W,Scooter,Yamaha,EV,BS6,0,2,1
1732,REG101733,29-04-2019,2019,Delhi,Delhi North (DL-04),HCV,Truck,MAN,Diesel,BS4,6700,1,5
1733,REG101734,14-08-2023,2023,Delhi,Delhi North (DL-04),2W,Moped,Honda,Petrol,BS6,125,2,1
1734,REG101735,29-07-2018,2018,Delhi,Delhi East (DL-02),2W,Motorcycle,Hero,Petrol,BS4,110,2,6
1735,REG101736,01-03-2024,2024,Gujarat,Gandhinagar (GJ-18),LCV,Mini Truck,Tata Motors,Diesel,BS6,2523,12,0
1736,REG101737,27-03-2023,2023,Punjab,Patiala (PB-11),4W,Sedan,Maruti Suzuki,Diesel,BS6,800,8,1
1737,REG101738,23-05-2022,2022,Delhi,Delhi North (DL-04),LCV,Mini Truck,Tata Motors,Diesel,BS6,2523,12,2
1738,REG101739,19-02-2020,2020,Kerala,Kozhikode (KL-11),HCV,Tanker,Eicher,CNG,BS4,0,1,4
1739,REG101740,11-04-2018,2018,Madhya Pradesh,Gwalior (MP-07),2W,Motorcycle,Bajaj,CNG,BS4,150,2,6
1740,REG101741,02-03-2022,2022,Delhi,Delhi East (DL-02),2W,Motorcycle,KTM,Petrol,BS6,150,2,2
1741,REG101742,31-08-2019,2019,Rajasthan,Kota (RJ-20),LCV,Pickup Van,Mahindra,CNG,BS4,0,9,5
1742,REG101743,19-04-2019,2019,Tamil Nadu,Madurai (TN-58),2W,Motorcycle,Suzuki,Petrol,BS4,110,2,5
1743,REG101744,12-10-2023,2023,Tamil Nadu,Salem (TN-30),2W,Motorcycle,TVS,Petrol,BS6,400,2,1
1744,REG101745,21-04-2022,2022,Punjab,Patiala (PB-11),OTH,Crane,TAFE,Diesel,BS6,6700,45,2
1745,REG101746,11-01-2021,2021,Tamil Nadu,Trichy (TN-45),LCV,Pickup Van,Ashok Leyland,Diesel,BS6,2956,12,3
1746,REG101747,06-03-2019,2019,Gujarat,Rajkot (GJ-03),4W,MUV,Hyundai,CNG,BS4,800,6,5
1747,REG101748,25-10-2021,2021,Kerala,Kollam (KL-02),HCV,Truck,Eicher,Diesel,BS6,4998,1,3
1748,REG101749,06-11-2024,2024,Telangana,Warangal (TS-03),4W,Sedan,Tata Motors,Petrol,BS6,0,5,0
1749,REG101750,20-06-2019,2019,Delhi,Delhi South (DL-09),4W,SUV,Renault,Diesel,BS4,0,6,5
1750,REG101751,23-09-2023,2023,Tamil Nadu,Chennai Central (TN-01),2W,Motorcycle,TVS,Petrol,BS6,125,2,1
1751,REG101752,24-08-2023,2023,Punjab,Jalandhar (PB-08),2W,Moped,Ather,Petrol,BS6,0,2,1
1752,REG101753,14-01-2023,2023,Madhya Pradesh,Gwalior (MP-07),OTH,Crane,Mahindra,Diesel,BS4,3760,1,1
1753,REG101754,04-09-2019,2019,Karnataka,Hubli (KA-25),2W,Moped,Ola Electric,Petrol,BS4,0,2,5
1754,REG101755,10-06-2023,2023,West Bengal,Asansol (WB-39),4W,Hatchback,Skoda,Petrol,BS6,1968,5,1
1755,REG101756,04-11-2022,2022,Telangana,Nizamabad (TS-05),4W,SUV,Tata Motors,Petrol,BS6,0,8,2
1756,REG101757,14-09-2023,2023,Gujarat,Rajkot (GJ-03),3W,Auto Rickshaw,Piaggio,CNG,BS6,200,6,1
1757,REG101758,02-01-2018,2018,Uttar Pradesh,Varanasi (UP-65),2W,Scooter,KTM,Petrol,BS4,160,2,6
1758,REG101759,29-09-2023,2023,Delhi,Delhi North (DL-04),2W,Scooter,Honda,Petrol,BS6,125,2,1
1759,REG101760,27-04-2023,2023,Uttar Pradesh,Varanasi (UP-65),4W,Sedan,Honda,Petrol,BS6,1598,7,1
1760,REG101761,21-01-2023,2023,Madhya Pradesh,Bhopal (MP-04),2W,Motorcycle,Ola Electric,Petrol,BS6,0,2,1
1761,REG101762,01-07-2022,2022,Maharashtra,Nashik (MH-15),2W,Scooter,Ola Electric,EV,BS6,0,2,2
1762,REG101763,20-07-2023,2023,Punjab,Patiala (PB-11),2W,Motorcycle,Hero,Petrol,BS6,160,2,1
1763,REG101764,26-11-2023,2023,Telangana,Hyderabad (TS-09),LCV,Light Bus,Tata Motors,Diesel,BS6,2956,15,1
1764,REG101765,07-04-2021,2021,West Bengal,Siliguri (WB-73),LCV,Mini Truck,Eicher,Diesel,BS4,2523,12,3
1765,REG101766,01-06-2021,2021,Gujarat,Surat (GJ-05),2W,Motorcycle,TVS,CNG,BS6,125,2,3
1766,REG101767,02-08-2020,2020,Telangana,Khammam (TS-07),4W,SUV,Honda,Petrol,BS6,1197,7,4
1767,REG101768,21-01-2020,2020,Kerala,Kollam (KL-02),2W,Motorcycle,Royal Enfield,Hybrid,BS6,250,2,4
1768,REG101769,11-12-2020,2020,Gujarat,Rajkot (GJ-03),2W,Scooter,Royal Enfield,Petrol,BS6,200,2,4
1769,REG101770,29-08-2018,2018,Rajasthan,Ajmer (RJ-01),4W,SUV,Mahindra,Hybrid,BS4,1968,7,6
1770,REG101771,26-04-2022,2022,Uttar Pradesh,Agra (UP-80),LCV,Light Bus,Eicher,Diesel,BS6,2523,12,2
1771,REG101772,27-08-2023,2023,Delhi,Delhi South (DL-09),4W,Sedan,Kia,Diesel,BS6,800,7,1
1772,REG101773,16-04-2020,2020,Maharashtra,Nagpur (MH-31),4W,Hatchback,Kia,Petrol,BS6,1598,6,4
1773,REG101774,22-02-2020,2020,Telangana,Nizamabad (TS-05),4W,Hatchback,Honda,Hybrid,BS6,1000,5,4
1774,REG101775,12-04-2022,2022,Kerala,Kollam (KL-02),3W,E-Rickshaw,Kinetic Green,CNG,BS6,225,7,2
1775,REG101776,21-01-2021,2021,Karnataka,Mysore (KA-09),3W,Auto Rickshaw,Mahindra,EV,BS6,0,3,3
1776,REG101777,28-07-2019,2019,Kerala,Thiruvananthapuram (KL-01),HCV,Tanker,Volvo,Diesel,BS4,0,52,5
1777,REG101778,01-08-2022,2022,Maharashtra,Mumbai Central (MH-01),HCV,Bus,Tata Motors,Diesel,BS6,3760,52,2
1778,REG101779,23-11-2021,2021,Tamil Nadu,Trichy (TN-45),3W,Auto Rickshaw,Piaggio,EV,BS6,0,6,3
1779,REG101780,19-04-2024,2024,Kerala,Kozhikode (KL-11),4W,Hatchback,Honda,Petrol,BS6,1968,7,0
1780,REG101781,27-09-2022,2022,Punjab,Amritsar (PB-02),2W,Motorcycle,Honda,Petrol,BS6,0,2,2
1781,REG101782,14-01-2022,2022,Gujarat,Ahmedabad (GJ-01),4W,Sedan,Mahindra,Diesel,BS6,1197,8,2
1782,REG101783,07-02-2022,2022,Delhi,Delhi East (DL-02),4W,Sedan,Mahindra,CNG,BS6,1462,8,2
1783,REG101784,30-05-2024,2024,Gujarat,Vadodara (GJ-06),2W,Motorcycle,Honda,Petrol,BS6,125,2,0
1784,REG101785,22-06-2023,2023,Telangana,Khammam (TS-07),2W,Moped,Hero,Petrol,BS4,150,2,1
1785,REG101786,07-03-2023,2023,West Bengal,Siliguri (WB-73),2W,Moped,Hero,EV,BS6,0,2,1
1786,REG101787,08-11-2021,2021,Maharashtra,Mumbai Central (MH-01),HCV,Truck,Eicher,Diesel,BS6,3760,1,3
1787,REG101788,21-04-2020,2020,Uttar Pradesh,Kanpur (UP-78),4W,Hatchback,Toyota,Hybrid,BS6,1498,7,4
1788,REG101789,06-09-2019,2019,Rajasthan,Jaipur (RJ-14),4W,Sedan,Honda,CNG,BS4,1968,6,5
1789,REG101790,03-05-2024,2024,Punjab,Ludhiana (PB-10),OTH,Crane,John Deere,Petrol,BS6,5660,52,0
1790,REG101791,08-10-2020,2020,Maharashtra,Aurangabad (MH-20),OTH,Tractor,John Deere,Diesel,BS4,0,2,4
1791,REG101792,22-02-2023,2023,Uttar Pradesh,Lucknow (UP-32),2W,Moped,Yamaha,EV,BS6,0,2,1
1792,REG101793,28-12-2024,2024,West Bengal,Kolkata (WB-01),4W,Hatchback,Renault,Diesel,BS6,1000,7,0
1793,REG101794,26-07-2022,2022,Gujarat,Gandhinagar (GJ-18),2W,Motorcycle,KTM,Petrol,BS6,0,2,2
1794,REG101795,03-12-2023,2023,Kerala,Kollam (KL-02),4W,MUV,Skoda,CNG,BS4,1498,8,1
1795,REG101796,08-05-2021,2021,Karnataka,Belgaum (KA-22),2W,Moped,Yamaha,EV,BS6,0,2,3
1796,REG101797,31-03-2022,2022,Rajasthan,Ajmer (RJ-01),2W,Motorcycle,Ather,Petrol,BS6,0,2,2
1797,REG101798,25-07-2020,2020,Karnataka,Mysore (KA-09),LCV,Mini Truck,Ashok Leyland,EV,BS6,0,12,4
1798,REG101799,02-08-2023,2023,Punjab,Chandigarh (CH-01),OTH,Crane,TAFE,Diesel,BS6,3760,45,1
1799,REG101800,10-12-2022,2022,Tamil Nadu,Coimbatore (TN-37),2W,Moped,Bajaj,EV,BS6,0,2,2
1800,REG101801,09-01-2024,2024,Rajasthan,Jodhpur (RJ-19),LCV,Light Bus,Mahindra,CNG,BS6,3298,9,0
1801,REG101802,24-06-2022,2022,Rajasthan,Udaipur (RJ-27),LCV,Mini Truck,Mahindra,CNG,BS6,2523,15,2
1802,REG101803,16-05-2020,2020,Tamil Nadu,Salem (TN-30),4W,SUV,Renault,EV,BS6,0,8,4
1803,REG101804,07-08-2018,2018,Punjab,Jalandhar (PB-08),2W,Moped,Honda,Petrol,BS4,110,2,6
1804,REG101805,02-03-2024,2024,Madhya Pradesh,Indore (MP-09),4W,SUV,Skoda,Diesel,BS6,1498,6,0
1805,REG101806,20-05-2021,2021,Gujarat,Rajkot (GJ-03),4W,Sedan,Skoda,Hybrid,BS6,800,5,3
1806,REG101807,03-11-2024,2024,Tamil Nadu,Salem (TN-30),4W,Hatchback,Maruti Suzuki,EV,BS6,0,8,0
1807,REG101808,09-04-2019,2019,Karnataka,Bangalore Central (KA-01),2W,Scooter,Ather,Petrol,BS4,0,2,5
1808,REG101809,23-05-2018,2018,Rajasthan,Jaipur (RJ-14),2W,Motorcycle,Suzuki,EV,BS4,0,2,6
1809,REG101810,01-04-2022,2022,Gujarat,Gandhinagar (GJ-18),2W,Moped,Yamaha,Petrol,BS4,400,2,2
1810,REG101811,23-04-2018,2018,Delhi,Delhi South (DL-09),HCV,Tanker,MAN,Diesel,BS4,5660,32,6
1811,REG101812,17-08-2020,2020,Maharashtra,Nashik (MH-15),2W,Moped,Royal Enfield,Petrol,BS4,125,2,4
1812,REG101813,12-10-2019,2019,Kerala,Thrissur (KL-08),4W,MUV,Tata Motors,CNG,BS4,1000,8,5
1813,REG101814,04-02-2023,2023,Kerala,Thrissur (KL-08),HCV,Truck,Ashok Leyland,Diesel,BS6,5660,1,1
1814,REG101815,28-04-2020,2020,Uttar Pradesh,Allahabad (UP-70),4W,SUV,Hyundai,Petrol,BS6,1000,6,4
1815,REG101816,25-02-2024,2024,Rajasthan,Kota (RJ-20),4W,Sedan,Mahindra,Diesel,BS6,2179,5,0
1816,REG101817,14-07-2022,2022,West Bengal,Kolkata (WB-01),2W,Motorcycle,Honda,Petrol,BS6,110,2,2
1817,REG101818,21-10-2022,2022,Delhi,Delhi North (DL-04),2W,Moped,Yamaha,Petrol,BS6,200,2,2
1818,REG101819,16-05-2022,2022,Uttar Pradesh,Lucknow (UP-32),2W,Scooter,Honda,CNG,BS6,0,2,2
1819,REG101820,18-09-2024,2024,Maharashtra,Pune (MH-12),LCV,Pickup Van,Tata Motors,Diesel,BS6,2523,9,0
1820,REG101821,22-02-2020,2020,Uttar Pradesh,Agra (UP-80),2W,Motorcycle,Bajaj,EV,BS6,0,2,4
1821,REG101822,20-09-2023,2023,West Bengal,Asansol (WB-39),2W,Motorcycle,KTM,CNG,BS6,125,2,1
1822,REG101823,01-10-2024,2024,Tamil Nadu,Chennai Central (TN-01),2W,Motorcycle,Honda,EV,BS6,0,2,0
1823,REG101824,09-09-2022,2022,Karnataka,Mysore (KA-09),2W,Scooter,TVS,EV,BS6,0,2,2
1824,REG101825,31-03-2024,2024,West Bengal,Howrah (WB-13),4W,Sedan,Renault,Petrol,BS6,0,7,0
1825,REG101826,29-10-2018,2018,Uttar Pradesh,Lucknow (UP-32),2W,Moped,KTM,CNG,BS4,400,2,6
1826,REG101827,12-09-2023,2023,Kerala,Thrissur (KL-08),2W,Motorcycle,KTM,EV,BS6,0,2,1
1827,REG101828,04-10-2023,2023,Uttar Pradesh,Allahabad (UP-70),4W,Sedan,Maruti Suzuki,Diesel,BS6,1197,5,1
1828,REG101829,21-07-2023,2023,Madhya Pradesh,Indore (MP-09),2W,Moped,Yamaha,Petrol,BS6,200,2,1
1829,REG101830,18-03-2021,2021,Maharashtra,Nagpur (MH-31),4W,MUV,Hyundai,EV,BS6,0,6,3
1830,REG101831,13-10-2023,2023,Karnataka,Belgaum (KA-22),2W,Moped,Suzuki,EV,BS6,0,2,1
1831,REG101832,09-01-2021,2021,Telangana,Nizamabad (TS-05),2W,Moped,Ola Electric,EV,BS6,0,2,3
1832,REG101833,05-10-2023,2023,Tamil Nadu,Chennai Central (TN-01),LCV,Mini Truck,Eicher,CNG,BS6,0,15,1
1833,REG101834,22-06-2021,2021,Punjab,Amritsar (PB-02),3W,E-Rickshaw,Kinetic Green,CNG,BS6,200,7,3
1834,REG101835,19-01-2022,2022,Karnataka,Hubli (KA-25),2W,Moped,Ather,EV,BS6,0,2,2
1835,REG101836,11-04-2022,2022,Karnataka,Hubli (KA-25),HCV,Bus,Eicher,Diesel,BS6,0,2,2
1836,REG101837,06-12-2019,2019,Maharashtra,Aurangabad (MH-20),3W,E-Rickshaw,Bajaj,EV,BS4,0,6,5
1837,REG101838,16-09-2022,2022,Punjab,Patiala (PB-11),3W,Tempo,Piaggio,EV,BS6,0,7,2
1838,REG101839,25-11-2024,2024,Tamil Nadu,Coimbatore (TN-37),2W,Moped,Bajaj,EV,BS6,0,2,0
1839,REG101840,08-07-2023,2023,Rajasthan,Ajmer (RJ-01),2W,Moped,TVS,CNG,BS6,100,2,1
1840,REG101841,13-11-2024,2024,Kerala,Kozhikode (KL-11),LCV,Light Bus,Ashok Leyland,EV,BS6,0,15,0
1841,REG101842,01-04-2021,2021,West Bengal,Asansol (WB-39),2W,Moped,Honda,Petrol,BS6,200,2,3
1842,REG101843,13-03-2022,2022,Rajasthan,Kota (RJ-20),2W,Moped,Suzuki,EV,BS6,0,2,2
1843,REG101844,18-05-2022,2022,Punjab,Amritsar (PB-02),2W,Motorcycle,TVS,CNG,BS6,250,2,2
1844,REG101845,16-12-2020,2020,Delhi,Delhi East (DL-02),4W,Hatchback,Toyota,Diesel,BS6,1598,6,4
1845,REG101846,29-03-2021,2021,Telangana,Nizamabad (TS-05),4W,MUV,Tata Motors,Diesel,BS6,1968,6,3
1846,REG101847,24-02-2020,2020,Kerala,Kochi (KL-07),2W,Moped,Yamaha,Petrol,BS6,400,2,4
1847,REG101848,14-10-2021,2021,Kerala,Thrissur (KL-08),2W,Motorcycle,KTM,EV,BS6,0,2,3
1848,REG101849,05-06-2020,2020,Maharashtra,Aurangabad (MH-20),2W,Scooter,Royal Enfield,Petrol,BS6,0,2,4
1849,REG101850,25-01-2022,2022,Karnataka,Belgaum (KA-22),4W,Hatchback,Hyundai,Diesel,BS6,1462,7,2
1850,REG101851,15-02-2020,2020,Punjab,Ludhiana (PB-10),2W,Motorcycle,Honda,Petrol,BS6,200,2,4
1851,REG101852,06-07-2020,2020,Gujarat,Rajkot (GJ-03),2W,Scooter,Bajaj,Petrol,BS6,0,2,4
1852,REG101853,12-06-2023,2023,Delhi,Delhi North (DL-04),3W,Tempo,Bajaj,CNG,BS6,200,3,1
1853,REG101854,14-02-2023,2023,Punjab,Amritsar (PB-02),HCV,Bus,MAN,Diesel,BS6,3760,32,1
1854,REG101855,15-10-2022,2022,Tamil Nadu,Salem (TN-30),2W,Moped,Honda,CNG,BS6,100,2,2
1855,REG101856,27-09-2019,2019,Punjab,Ludhiana (PB-10),4W,Hatchback,Kia,Diesel,BS4,0,7,5
1856,REG101857,16-06-2022,2022,Uttar Pradesh,Kanpur (UP-78),LCV,Pickup Van,Eicher,EV,BS6,0,12,2
1857,REG101858,22-06-2023,2023,Telangana,Karimnagar (TS-01),2W,Motorcycle,TVS,EV,BS6,0,2,1
1858,REG101859,28-05-2023,2023,Telangana,Nizamabad (TS-05),4W,MUV,Toyota,Diesel,BS6,1197,6,1
1859,REG101860,10-03-2024,2024,Gujarat,Gandhinagar (GJ-18),HCV,Truck,MAN,Diesel,BS6,3760,1,0
1860,REG101861,07-02-2023,2023,Maharashtra,Pune (MH-12),4W,SUV,Mahindra,CNG,BS6,1462,6,1
1861,REG101862,04-09-2018,2018,Madhya Pradesh,Bhopal (MP-04),4W,SUV,Hyundai,Petrol,BS4,800,6,6
1862,REG101863,26-09-2021,2021,Madhya Pradesh,Jabalpur (MP-20),4W,Sedan,Hyundai,Petrol,BS6,1968,8,3
1863,REG101864,23-04-2024,2024,Punjab,Patiala (PB-11),OTH,Crane,TAFE,Diesel,BS6,6700,45,0
1864,REG101865,07-07-2023,2023,Madhya Pradesh,Jabalpur (MP-20),4W,SUV,Honda,Petrol,BS6,0,6,1
1865,REG101866,29-12-2023,2023,Rajasthan,Kota (RJ-20),2W,Motorcycle,Ather,Petrol,BS6,0,2,1
1866,REG101867,04-01-2022,2022,Karnataka,Mysore (KA-09),2W,Motorcycle,TVS,Petrol,BS6,160,2,2
1867,REG101868,15-05-2022,2022,Punjab,Chandigarh (CH-01),2W,Moped,Hero,Petrol,BS6,350,2,2
1868,REG101869,30-08-2022,2022,Tamil Nadu,Coimbatore (TN-37),4W,MUV,Toyota,Petrol,BS4,1968,5,2
1869,REG101870,05-07-2022,2022,Madhya Pradesh,Jabalpur (MP-20),2W,Motorcycle,Yamaha,EV,BS6,0,2,2
1870,REG101871,13-03-2024,2024,Madhya Pradesh,Gwalior (MP-07),3W,E-Rickshaw,Piaggio,EV,BS6,0,7,0
1871,REG101872,28-01-2023,2023,Madhya Pradesh,Jabalpur (MP-20),2W,Moped,Ather,Petrol,BS6,0,2,1
1872,REG101873,12-04-2022,2022,Tamil Nadu,Salem (TN-30),HCV,Tanker,Ashok Leyland,Diesel,BS6,6700,2,2
1873,REG101874,17-10-2020,2020,Punjab,Patiala (PB-11),HCV,Truck,Volvo,Diesel,BS6,0,2,4
1874,REG101875,08-02-2023,2023,Kerala,Thrissur (KL-08),LCV,Mini Truck,Force Motors,Diesel,BS6,3298,9,1
1875,REG101876,23-10-2021,2021,Telangana,Khammam (TS-07),2W,Motorcycle,Yamaha,EV,BS6,0,2,3
1876,REG101877,27-11-2019,2019,Delhi,Delhi West (DL-08),4W,SUV,Kia,Diesel,BS6,2179,8,5
1877,REG101878,10-05-2022,2022,Delhi,Delhi East (DL-02),4W,SUV,Mahindra,Petrol,BS6,2179,5,2
1878,REG101879,05-02-2022,2022,Tamil Nadu,Salem (TN-30),4W,MUV,Maruti Suzuki,Petrol,BS6,1197,5,2
1879,REG101880,09-09-2023,2023,Rajasthan,Jodhpur (RJ-19),4W,MUV,Renault,Diesel,BS6,1598,6,1
1880,REG101881,20-02-2018,2018,Punjab,Patiala (PB-11),HCV,Bus,Ashok Leyland,Diesel,BS4,4998,32,6
1881,REG101882,08-09-2021,2021,Uttar Pradesh,Lucknow (UP-32),4W,Sedan,Maruti Suzuki,Petrol,BS6,2179,8,3
1882,REG101883,30-09-2020,2020,Rajasthan,Jodhpur (RJ-19),4W,SUV,Renault,Diesel,BS6,1968,5,4
1883,REG101884,21-10-2023,2023,Maharashtra,Pune (MH-12),2W,Scooter,Bajaj,Petrol,BS6,200,2,1
1884,REG101885,12-01-2022,2022,Karnataka,Mangalore (KA-19),2W,Motorcycle,Bajaj,CNG,BS6,125,2,2
1885,REG101886,17-02-2021,2021,Madhya Pradesh,Ujjain (MP-13),2W,Moped,Ola Electric,Hybrid,BS6,0,2,3
1886,REG101887,03-01-2018,2018,Delhi,Delhi North (DL-04),2W,Moped,Ather,Petrol,BS4,0,2,6
1887,REG101888,16-03-2019,2019,Uttar Pradesh,Varanasi (UP-65),2W,Moped,Ola Electric,EV,BS4,0,2,5
1888,REG101889,25-12-2019,2019,Maharashtra,Pune (MH-12),4W,Hatchback,Mahindra,Petrol,BS4,2179,8,5
1889,REG101890,23-02-2019,2019,West Bengal,Howrah (WB-13),2W,Moped,Honda,Petrol,BS4,125,2,5
1890,REG101891,05-12-2019,2019,Tamil Nadu,Chennai Central (TN-01),2W,Moped,Hero,EV,BS4,0,2,5
1891,REG101892,09-08-2021,2021,West Bengal,Howrah (WB-13),2W,Moped,Bajaj,Petrol,BS6,250,2,3
1892,REG101893,23-09-2024,2024,Rajasthan,Jodhpur (RJ-19),4W,Sedan,MG,EV,BS6,0,6,0
1893,REG101894,26-09-2023,2023,Gujarat,Surat (GJ-05),2W,Scooter,Hero,EV,BS6,0,2,1
1894,REG101895,07-03-2022,2022,Rajasthan,Jaipur (RJ-14),4W,SUV,Tata Motors,Petrol,BS6,800,6,2
1895,REG101896,02-12-2023,2023,Kerala,Kozhikode (KL-11),OTH,Crane,Sonalika,Diesel,BS6,3760,2,1
1896,REG101897,19-02-2023,2023,Kerala,Kollam (KL-02),4W,Sedan,Skoda,Diesel,BS4,1462,8,1
1897,REG101898,18-07-2021,2021,Karnataka,Mysore (KA-09),2W,Scooter,Yamaha,EV,BS6,0,2,3
1898,REG101899,14-03-2023,2023,Tamil Nadu,Coimbatore (TN-37),LCV,Pickup Van,Tata Motors,EV,BS6,0,9,1
1899,REG101900,31-01-2022,2022,Uttar Pradesh,Lucknow (UP-32),2W,Motorcycle,KTM,Petrol,BS6,125,2,2
1900,REG101901,12-01-2022,2022,Punjab,Patiala (PB-11),2W,Moped,Honda,EV,BS6,0,2,2
1901,REG101902,24-06-2024,2024,Delhi,Delhi East (DL-02),2W,Scooter,Ather,EV,BS6,0,2,0
1902,REG101903,17-01-2023,2023,Gujarat,Surat (GJ-05),4W,Hatchback,Mahindra,EV,BS6,0,5,1
1903,REG101904,19-08-2024,2024,Karnataka,Bangalore Central (KA-01),4W,MUV,MG,CNG,BS6,1598,8,0
1904,REG101905,10-07-2023,2023,Gujarat,Gandhinagar (GJ-18),2W,Scooter,Ola Electric,CNG,BS6,0,2,1
1905,REG101906,25-08-2019,2019,Uttar Pradesh,Kanpur (UP-78),HCV,Trailer,BharatBenz,Diesel,BS4,6700,1,5
1906,REG101907,31-07-2018,2018,Karnataka,Bangalore Central (KA-01),4W,Hatchback,Renault,Petrol,BS4,0,6,6
1907,REG101908,06-10-2022,2022,Karnataka,Mangalore (KA-19),2W,Motorcycle,KTM,Petrol,BS6,100,2,2
1908,REG101909,25-02-2020,2020,Telangana,Hyderabad (TS-09),4W,SUV,MG,Petrol,BS6,1598,5,4
1909,REG101910,25-08-2019,2019,West Bengal,Kolkata (WB-01),2W,Motorcycle,Suzuki,EV,BS4,0,2,5
1910,REG101911,02-06-2024,2024,Rajasthan,Jaipur (RJ-14),HCV,Trailer,Volvo,Diesel,BS6,4998,45,0
1911,REG101912,30-09-2022,2022,Tamil Nadu,Chennai Central (TN-01),4W,Hatchback,Maruti Suzuki,CNG,BS6,0,7,2
1912,REG101913,03-01-2020,2020,West Bengal,Siliguri (WB-73),4W,SUV,MG,Petrol,BS6,1598,6,4
1913,REG101914,12-08-2023,2023,Madhya Pradesh,Indore (MP-09),4W,Sedan,MG,Petrol,BS6,1197,5,1
1914,REG101915,17-01-2024,2024,Rajasthan,Ajmer (RJ-01),2W,Motorcycle,TVS,CNG,BS6,100,2,0
1915,REG101916,04-02-2023,2023,Gujarat,Rajkot (GJ-03),2W,Motorcycle,Royal Enfield,Petrol,BS6,110,2,1
1916,REG101917,02-12-2018,2018,Maharashtra,Nashik (MH-15),4W,MUV,Hyundai,Petrol,BS3,1498,6,6
1917,REG101918,20-11-2023,2023,Telangana,Khammam (TS-07),2W,Moped,Ola Electric,Hybrid,BS6,0,2,1
1918,REG101919,11-05-2023,2023,Punjab,Chandigarh (CH-01),2W,Moped,Honda,Petrol,BS6,0,2,1
1919,REG101920,22-07-2023,2023,Punjab,Patiala (PB-11),2W,Moped,Royal Enfield,EV,BS6,0,2,1
1920,REG101921,03-03-2022,2022,Telangana,Karimnagar (TS-01),4W,Hatchback,Mahindra,Diesel,BS6,1968,8,2
1921,REG101922,20-04-2024,2024,Punjab,Patiala (PB-11),4W,Hatchback,Honda,Diesel,BS6,2179,7,0
1922,REG101923,15-06-2023,2023,Maharashtra,Nashik (MH-15),3W,E-Rickshaw,Piaggio,CNG,BS6,0,3,1
1923,REG101924,16-08-2024,2024,Delhi,Delhi South (DL-09),4W,SUV,Skoda,CNG,BS6,800,5,0
1924,REG101925,20-09-2020,2020,Kerala,Kozhikode (KL-11),2W,Scooter,TVS,Petrol,BS6,350,2,4
1925,REG101926,15-01-2023,2023,Telangana,Warangal (TS-03),2W,Scooter,Hero,Petrol,BS6,160,2,1
1926,REG101927,11-11-2023,2023,Karnataka,Belgaum (KA-22),HCV,Truck,Ashok Leyland,Diesel,BS6,0,52,1
1927,REG101928,15-08-2024,2024,Punjab,Patiala (PB-11),LCV,Light Bus,Force Motors,Diesel,BS6,2523,15,0
1928,REG101929,07-10-2023,2023,Telangana,Khammam (TS-07),4W,SUV,Renault,Petrol,BS6,1968,7,1
1929,REG101930,30-04-2022,2022,Gujarat,Gandhinagar (GJ-18),2W,Motorcycle,KTM,Petrol,BS6,0,2,2
1930,REG101931,13-05-2019,2019,West Bengal,Asansol (WB-39),2W,Motorcycle,Ather,Petrol,BS4,0,2,5
1931,REG101932,07-04-2023,2023,Maharashtra,Nashik (MH-15),3W,E-Rickshaw,Kinetic Green,CNG,BS6,0,7,1
1932,REG101933,12-12-2022,2022,Karnataka,Hubli (KA-25),4W,Hatchback,Hyundai,Petrol,BS6,1498,6,2
1933,REG101934,10-12-2023,2023,Punjab,Jalandhar (PB-08),4W,Sedan,MG,Hybrid,BS6,2179,5,1
1934,REG101935,24-10-2024,2024,Gujarat,Ahmedabad (GJ-01),4W,Sedan,Hyundai,Petrol,BS6,1968,5,0
1935,REG101936,20-12-2022,2022,Rajasthan,Udaipur (RJ-27),2W,Moped,Bajaj,Petrol,BS6,400,2,2
1936,REG101937,25-10-2023,2023,Telangana,Warangal (TS-03),2W,Scooter,Yamaha,Petrol,BS6,250,2,1
1937,REG101938,08-05-2021,2021,Tamil Nadu,Madurai (TN-58),4W,MUV,Kia,CNG,BS6,1498,8,3
